user_id,neighbor_id,periods,total_timesteps
P_1-2_4734,P_1-3_3776,"[{'start_time': 20057, 'end_time': 20082, 'duration': 26}, {'start_time': 20057, 'end_time': 20082, 'duration': 26}, {'start_time': 21515, 'end_time': 21540, 'duration': 26}, {'start_time': 21515, 'end_time': 21540, 'duration': 26}, {'start_time': 23054, 'end_time': 23079, 'duration': 26}, {'start_time': 23054, 'end_time': 23079, 'duration': 26}, {'start_time': 24512, 'end_time': 24536, 'duration': 25}, {'start_time': 24512, 'end_time': 24536, 'duration': 25}]",7159
P_1-2_4734,P_2-1_2161,"[{'start_time': 20333, 'end_time': 20357, 'duration': 25}, {'start_time': 20333, 'end_time': 20357, 'duration': 25}, {'start_time': 21791, 'end_time': 21815, 'duration': 25}, {'start_time': 21791, 'end_time': 21815, 'duration': 25}, {'start_time': 23250, 'end_time': 23274, 'duration': 25}, {'start_time': 23250, 'end_time': 23274, 'duration': 25}, {'start_time': 24708, 'end_time': 24732, 'duration': 25}, {'start_time': 24708, 'end_time': 24732, 'duration': 25}]",7159
P_1-2_4734,P_1-3_874,"[{'start_time': 20416, 'end_time': 20441, 'duration': 26}, {'start_time': 20416, 'end_time': 20441, 'duration': 26}, {'start_time': 21870, 'end_time': 21895, 'duration': 26}, {'start_time': 21870, 'end_time': 21895, 'duration': 26}]",7159
P_1-2_4734,P_1-3_2454,"[{'start_time': 22466, 'end_time': 22490, 'duration': 25}, {'start_time': 22466, 'end_time': 22490, 'duration': 25}, {'start_time': 23920, 'end_time': 23944, 'duration': 25}, {'start_time': 23920, 'end_time': 23944, 'duration': 25}]",7159
P_1-2_4734,P_1-3_3834,"[{'start_time': 23029, 'end_time': 23053, 'duration': 25}, {'start_time': 23029, 'end_time': 23053, 'duration': 25}, {'start_time': 24482, 'end_time': 24506, 'duration': 25}, {'start_time': 24482, 'end_time': 24506, 'duration': 25}]",7159
P_1-2_4734,P_1-2_3280,"[{'start_time': 23359, 'end_time': 23384, 'duration': 26}, {'start_time': 23359, 'end_time': 23384, 'duration': 26}, {'start_time': 24817, 'end_time': 24842, 'duration': 26}, {'start_time': 24817, 'end_time': 24842, 'duration': 26}]",7159
P_1-2_4734,P_1-3_3046,"[{'start_time': 23445, 'end_time': 23470, 'duration': 26}, {'start_time': 23445, 'end_time': 23470, 'duration': 26}, {'start_time': 24903, 'end_time': 24927, 'duration': 25}, {'start_time': 24903, 'end_time': 24927, 'duration': 25}]",7159
P_1-2_4734,P_1-3_3457,"[{'start_time': 23491, 'end_time': 23515, 'duration': 25}, {'start_time': 23491, 'end_time': 23515, 'duration': 25}, {'start_time': 24949, 'end_time': 24973, 'duration': 25}, {'start_time': 24949, 'end_time': 24973, 'duration': 25}]",7159
P_1-2_4734,P_1-3_4168,"[{'start_time': 23653, 'end_time': 23678, 'duration': 26}, {'start_time': 23653, 'end_time': 23678, 'duration': 26}, {'start_time': 25111, 'end_time': 25136, 'duration': 26}, {'start_time': 25111, 'end_time': 25136, 'duration': 26}]",7159
P_1-2_4734,P_1-3_2053,"[{'start_time': 23854, 'end_time': 25186, 'duration': 1333}, {'start_time': 23854, 'end_time': 25186, 'duration': 1333}]",7159
